date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:16:24	9696/9696	U-----	200	untouched ('')	application/octet-stream	date:Sun,%2005%20Mar%202023%2013:32:10%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic.woff2	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-cyrillic.woff2	(from https://www.classcentral.com/)
10:16:24	8248/8248	U-----	200	untouched ('')	application/octet-stream	date:Sun,%2005%20Mar%202023%2013:29:35%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek.woff2	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-greek.woff2	(from https://www.classcentral.com/)
10:16:24	378/378	---MC-	302	error ('Found')	text/html	date:Tue,%2007%20Mar%202023%2015:16:24%20GMT	https://www.classcentral.com/new-online-courses	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/new-online-courses	(from https://www.classcentral.com/)
10:16:24	15016/15016	U-----	200	untouched ('')	application/octet-stream	date:Sun,%2005%20Mar%202023%2013:32:10%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin-ext.woff2	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin-ext.woff2	(from https://www.classcentral.com/)
10:16:24	5784/5784	U-----	200	untouched ('')	application/octet-stream	date:Sun,%2005%20Mar%202023%2013:29:35%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-vietnamese.woff2	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-vietnamese.woff2	(from https://www.classcentral.com/)
10:16:24	15948/15948	U-----	200	untouched ('')	application/octet-stream	date:Sun,%2005%20Mar%202023%2013:29:35%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin.woff2	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin.woff2	(from https://www.classcentral.com/)
10:16:25	486/486	---MC-	302	error ('Found')	text/html	date:Tue,%2007%20Mar%202023%2015:16:24%20GMT	https://www.classcentral.com/most-popular-courses	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/most-popular-courses	(from https://www.classcentral.com/)
10:16:25	6696/6696	U-----	200	untouched ('')	application/octet-stream	date:Sun,%2005%20Mar%202023%2013:29:35%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic-ext.woff2	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic-ext.woff2	(from https://www.classcentral.com/)
10:16:25	9540/9540	U-----	200	untouched ('')	application/octet-stream	date:Sun,%2005%20Mar%202023%2013:32:10%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic.woff2	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic.woff2	(from https://www.classcentral.com/)
10:16:25	7360/7360	U-----	200	untouched ('')	application/octet-stream	date:Sun,%2005%20Mar%202023%2013:32:10%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek-ext.woff2	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek-ext.woff2	(from https://www.classcentral.com/)
10:16:26	8280/8280	U-----	200	untouched ('')	application/octet-stream	date:Sun,%2005%20Mar%202023%2013:32:10%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek.woff2	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek.woff2	(from https://www.classcentral.com/)
10:16:26	5676/5676	U-----	200	untouched ('')	application/octet-stream	date:Sun,%2005%20Mar%202023%2013:32:10%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-vietnamese.woff2	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-vietnamese.woff2	(from https://www.classcentral.com/)
10:16:26	751161/751161	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Mar%202023%2015:16:25%20GMT	https://www.classcentral.com/subject/quantum-computing	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/subject/quantum-computing.html	(from https://www.classcentral.com/)
10:16:26	14808/14808	U-----	200	untouched ('')	application/octet-stream	date:Sun,%2005%20Mar%202023%2013:32:10%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin-ext.woff2	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin-ext.woff2	(from https://www.classcentral.com/)
10:16:26	15764/15764	U-----	200	untouched ('')	application/octet-stream	date:Sun,%2005%20Mar%202023%2013:32:10%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin.woff2	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin.woff2	(from https://www.classcentral.com/)
10:16:27	990/990	U-----	200	untouched ('')	image/png	date:Sun,%2005%20Mar%202023%2013:29:36%20GMT	https://www.classcentral.com/images/fade-gradient.png	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/images/fade-gradient.png	(from https://www.classcentral.com/)
10:16:27	50234/50234	U-----	200	untouched ('')	text/javascript	date:Tue,%2010%20Jan%202023%2021:29:14%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/nicolas/Desktop/prueba/prueba/www.google-analytics.com/analytics.js	(from https://www.classcentral.com/)
10:16:34	742460/742460	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Mar%202023%2015:16:26%20GMT	https://www.classcentral.com/subject/distributed-systems	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/subject/distributed-systems.html	(from https://www.classcentral.com/)
10:16:34	601265/601265	U--MCZ	200	updated ('OK')	text/html	date:Tue,%2007%20Mar%202023%2015:16:28%20GMT	https://www.classcentral.com/rankings	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/rankings.html	(from https://www.classcentral.com/)
10:16:35	594023/594023	U--MCZ	200	updated ('OK')	text/html	date:Tue,%2007%20Mar%202023%2015:16:34%20GMT	https://www.classcentral.com/collections	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/collections.html	(from https://www.classcentral.com/)
10:16:39	576516/576516	U--MCZ	200	updated ('OK')	text/html	date:Tue,%2007%20Mar%202023%2015:16:35%20GMT	https://www.classcentral.com/subjects	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/subjects.html	(from https://www.classcentral.com/)
10:16:40	760148/760148	---MCZ	200	added ('OK')	text/html	date:Tue,%2007%20Mar%202023%2015:16:35%20GMT	https://www.classcentral.com/subject/blockchain	C:/Users/nicolas/Desktop/prueba/prueba/www.classcentral.com/subject/blockchain.html	(from https://www.classcentral.com/)
